자사, 45, 185
타자, 75, 151
카아, 81, 154
바나, 50, 168
파라, 65, 163
하자, 71, 165
마사, 67, 149
라사, 47, 162
가가, 70, 147
하바, 90, 169
파아, 96, 141
타차, 68, 142
아바, 59, 160
아사, 84, 184
바차, 74, 157
아마, 90, 183
가파, 67, 173
가다, 77, 180
타마, 73, 182
차하, 69, 194
파타, 56, 174
자사, 71, 150
차아, 60, 184
사나, 89, 149
마마, 66, 196
차하, 63, 198
아바, 73, 171
아사, 81, 178
자나, 77, 152
바사, 95, 146
하아, 90, 175
아카, 44, 188
아아, 61, 198
자바, 48, 156
다다, 78, 165
차사, 60, 161
파라, 59, 167
자가, 40, 195
하타, 93, 148
파차, 78, 160
하타, 96, 198
바마, 61, 166
사바, 81, 153
차다, 97, 182
아파, 72, 180
다마, 79, 180
아타, 64, 179
라차, 70, 175
아사, 64, 196
차바, 87, 176
카마, 99, 198
자다, 89, 162
바자, 63, 177
마아, 58, 168
라카, 52, 190
사차, 80, 181
차가, 69, 186
다라, 58, 147
차타, 66, 158
하나, 99, 152
라하, 58, 157
아사, 84, 179
자마, 47, 174
라가, 72, 184
사하, 94, 191
하마, 83, 149
파사, 63, 172
사마, 86, 168
바차, 60, 140
자라, 67, 181
하자, 52, 165
자하, 74, 189
자나, 72, 194
자카, 59, 180
아나, 67, 143
카라, 94, 186
파사, 84, 191
아타, 74, 187
가사, 74, 184
바가, 46, 196
아아, 73, 151
다타, 83, 146
하자, 57, 199
타사, 86, 196
타자, 96, 140
카타, 97, 178
하자, 85, 156
카나, 52, 194
타나, 70, 183
바마, 43, 193
사타, 93, 141
가사, 76, 145
라바, 82, 146
파타, 73, 199
차사, 59, 145
파하, 86, 166
차바, 73, 152
마하, 66, 166
아카, 88, 186
다카, 85, 157
파차, 65, 141
가아, 68, 179
아마, 57, 180
파사, 90, 194
하파, 60, 164
하가, 98, 169
다바, 94, 164
아라, 45, 185
카사, 78, 151
가나, 78, 163
카나, 66, 176
바다, 93, 156
바자, 95, 157
파하, 99, 149
카아, 52, 160
아타, 52, 155
나바, 49, 188
라차, 63, 176
나다, 91, 142
다하, 86, 191
카사, 71, 150
사자, 47, 167
다타, 55, 166
나자, 97, 199
사하, 48, 179
아카, 85, 168
바바, 59, 143
나사, 87, 181
하다, 76, 184
사아, 77, 159
라차, 83, 169
파아, 95, 172
파나, 57, 162
마아, 53, 150
차마, 87, 183
자다, 98, 186
다라, 52, 198
사가, 79, 168
타하, 75, 162
나다, 65, 187
타사, 97, 142
카자, 89, 170
나나, 41, 155
나바, 95, 147
라파, 70, 188
파카, 97, 185
라마, 63, 149
차사, 78, 172
하라, 52, 145
아자, 55, 148
바가, 44, 177
파라, 88, 150
라차, 48, 177
다나, 82, 169
다자, 67, 192
가다, 46, 154
사마, 87, 173
카바, 40, 163
자사, 54, 155
라카, 92, 185
